Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,150.0,151.0,149.0,150.5,150.3,1000000
2024-01-02,152.0,153.0,151.0,152.5,152.3,1100000
2024-01-03,151.5,152.5,150.5,151.0,150.8,1050000
2024-01-04,153.0,154.0,152.0,153.5,153.3,1080000
2024-01-05,154.5,155.5,153.5,154.0,153.8,1070000
2024-01-06,155.0,156.0,154.0,155.5,155.3,1090000
2024-01-07,156.0,157.0,155.0,156.5,156.3,1110000
2024-01-08,157.5,158.5,156.5,157.0,156.8,1120000
2024-01-09,158.0,159.0,157.0,158.5,158.3,1130000
2024-01-10,159.0,160.0,158.0,159.5,159.3,1140000
